,names,ProfileLinks
0,Jim X. Chen,https://scholar.google.com//citations?hl=en&user=929ovoAAAAAJ
1,Thomas D. LaToza,https://scholar.google.com//citations?hl=en&user=200KNLAAAAAJ
2,Evgenios M. Kornaropoulos,https://scholar.google.com//citations?hl=en&user=2s0r_AkAAAAJ
3,Gregory J. Stein,https://scholar.google.com//citations?hl=en&user=4djS86UAAAAJ
4,Katherine (Raven) Russell,https://scholar.google.com//citations?hl=en&user=dz00j-wAAAAJ
5,Lannan Lisa Luo,https://scholar.google.com//citations?hl=en&user=JPXjw04AAAAJ
6,Harry J Foxwell,https://scholar.google.com//citations?hl=en&user=1OvLb-YAAAAJ
7,Hoda Mamdouh Abdel Ghafour Hassan,https://scholar.google.com//citations?hl=en&user=gmnF_GwAAAAJ
8,Omoche Cheche Agada,https://scholar.google.com//citations?hl=en&user=8yTHUVsAAAAJ
9,Sungsoo Ray Hong,https://scholar.google.com//citations?hl=en&user=D5bxMHYAAAAJ
10,Kirin Emlet Furst,https://scholar.google.com//citations?hl=en&user=X075zj0AAAAJ
11,Lucas RF Henneman,https://scholar.google.com//citations?hl=en&user=IL-s1LkAAAAJ
12,Ossama “Sam” Salem,https://scholar.google.com//citations?hl=en&user=zNtfT2YAAAAJ
13,Brian L. Mark,https://scholar.google.com//citations?hl=en&user=RgyjYZgAAAAJ
14,Khaled N. Khasawneh,https://scholar.google.com//citations?hl=en&user=GEZeHMEAAAAJ
15,Xiang 'Shawn' Chen,https://scholar.google.com//citations?hl=en&user=QEdR90AAAAAJ
16,Caroline D Hoemann,https://scholar.google.com//citations?hl=en&user=Iug7w3IAAAAJ
17,Giorgio A. Ascoli,https://scholar.google.com//citations?hl=en&user=Qq5H3-QAAAAJ
18,Kim T. Blackwell,https://scholar.google.com//citations?hl=en&user=V1CNe94AAAAJ
19,Parag V. Chitnis,https://scholar.google.com//citations?hl=en&user=kVkXPvIAAAAJ
20,Shani E Ross,https://scholar.google.com//citations?hl=en&user=BCsUkXMAAAAJ
21,Jeffrey L. Moran,https://scholar.google.com//citations?hl=en&user=bSPLG-0AAAAJ
22,Isaac K. Gang,https://scholar.google.com//citations?hl=en&user=0B-N2cwAAAAJ
23,Mohamed I. Ibrahem,https://scholar.google.com//citations?hl=en&user=uXaXACEAAAAJ
24,Vijay K. Shah,https://scholar.google.com//citations?hl=en&user=yg3VvyEAAAAJ
